node,tsne_x,tsne_y,display_x,display_y,role,original_x,original_y
0,-1.0090075,-7.0167823,-0.14962658295841616,-0.4298970362033006,node,-0.288476714888463,0.31142233107138406
1,-1.569451,-6.072748,-0.2399931301847704,-0.410098166180101,node,0.14210097823616044,-0.0026715195338401884
2,-1.9539335,-7.5901036,-0.16868388065483847,-0.5210593073781745,start,-0.4589061709828345,0.16520114069536468
3,-2.4419932,-6.721185,-0.2502614141301408,-0.5011247146990223,node,-0.15487042160039116,-0.1837275897521606
4,-0.11929679,-6.2770014,-0.14399493906083663,-0.3325587463102325,node,0.23242917806973284,-0.4586198616136125
5,-0.62425923,-5.206008,-0.2389870276478937,-0.30204027080984786,node,-0.23776442908492987,-0.09257427950265798
6,0.75448936,-4.1675954,-0.22361031439762732,-0.15741163265969899,node,-0.0383209265991664,-0.004445897566223203
7,2.6782377,-3.7383208,-0.13937582505173107,-0.014267508003150086,node,-0.16257314325929878,0.3125086656952443
8,1.5683222,-5.380319,-0.1021234328022711,-0.17706545882195998,node,-0.0598417265185013,0.47649604349288344
9,2.1917672,-6.181432,-0.016932670570794894,-0.18476347664759998,node,0.02981136622362028,0.10929744859669975
10,1.1016554,-7.0172105,-0.028181846470834538,-0.29996333785245066,node,-0.16069895755061248,-0.14800907439676328
11,0.9957738,-8.2099695,0.03916810784704894,-0.37509758570482815,node,-0.07976896053087998,0.4900347970206453
12,1.6831199,-8.578097,0.10137499239577304,-0.3539530930236458,node,0.19791034641983632,-0.23738786649039284
13,-0.8476247,-8.084397,-0.07460734500194176,-0.4813761605268488,node,0.11170947760128394,0.0731020284809243
14,6.3446364,-0.87957716,-0.10448127812391393,0.3759337106690521,node,-0.3156234892225219,0.24562833079149018
15,6.155976,-2.3117085,-0.027154595140410104,0.2819323855176219,node,-0.2785218690785011,0.30621841361107793
16,5.262241,-1.1799618,-0.14825200689287213,0.2920081553714106,node,-0.059463936756780134,-0.46314474581581133
17,4.455766,-1.2699968,-0.18910176427764264,0.23717228996620374,node,0.5016654950399649,-0.048890158838848924
18,5.6159263,-0.14838932,-0.19142211057992517,0.37312780305163284,node,-0.2565866771057188,-0.2841171828918175
19,4.738395,-0.07256249,-0.24657194974885105,0.3234582205545221,node,0.5410938290171655,-0.05964913920926912
20,6.1674013,-3.9277682,0.0730071791321619,0.18967011634065997,node,-0.2417023370753682,-0.33953004135002135
21,5.147133,-5.255248,0.09605100214549213,0.050484988830464185,node,0.35953956505951656,0.03440530981906138
22,3.0989125,-8.035092,0.14938607652087513,-0.23554249350283094,node,0.03442398907066118,-0.37897315820185135
23,7.0878205,-4.523507,0.16263640087847706,0.21207185069959408,node,0.2581221536445474,-0.15463542646683662
24,9.489456,-4.466965,0.29731194911654846,0.36319872448201984,node,0.4053183534063733,0.3610587618760328
25,10.667905,-4.439748,0.36342777542613147,0.4373242263952117,node,-0.2982527693896396,-0.15796342751094158
26,10.495657,-3.5319498,0.297623801456817,0.4789406926218256,goal,-0.4360344194519157,0.13156205167996757
27,9.386111,-3.5751839,0.23645788681451607,0.408136323656127,node,0.1770292331928864,-0.007164819591993315
28,9.376744,-5.5604067,0.35815376394260884,0.2933572702721423,node,-0.07623197611809607,0.06602029437189144
29,3.6418438,-5.963829,0.05308641192639977,-0.08296107796451635,node,0.5274785773236256,0.1468998853421748
30,8.514792,-5.313088,0.2933409760557676,0.2545122235624349,node,0.4402016341729259,-0.2923860682013872
31,7.742507,-3.906946,0.16233493218036268,0.2878508135149823,node,-0.3551952512646816,0.08403475438958653
